2026-05-16 00:27:24 | src.llm_engine | INFO | Response generated (2025 chars)
2026-05-16 00:27:24 | src.rag_pipeline | INFO | Query processed — domain: companion, emergency: False, sources: ['companion.txt']
2026-05-16 00:27:24 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-16 00:45:29 | streamlit_app | WARNING | Failed to initialize MLflow: file://C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-16 00:45:29 | src.rag_pipeline | INFO | Initializing Senior Chatbot Pipeline...
2026-05-16 00:45:29 | src.rag_pipeline | INFO | Step 1/3: Loading embedding model...
2026-05-16 00:45:29 | src.embeddings | INFO | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-05-16 00:45:37 | src.embeddings | INFO | Embedding model loaded successfully
2026-05-16 00:45:37 | src.rag_pipeline | INFO | Step 2/3: Setting up vector store...
2026-05-16 00:45:37 | src.embeddings | INFO | Loading FAISS index from C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\vectorstore
2026-05-16 00:45:37 | src.embeddings | INFO | FAISS index loaded successfully
2026-05-16 00:45:37 | src.rag_pipeline | INFO | Step 3/3: Loading LLM...
2026-05-16 00:45:37 | src.llm_engine | INFO | Loading LLM via Groq: llama-3.1-8b-instant
2026-05-16 00:45:39 | src.llm_engine | INFO | LLM loaded successfully
2026-05-16 00:45:39 | src.rag_pipeline | INFO | Pipeline initialized successfully!
2026-05-16 00:48:53 | streamlit_app | WARNING | Failed to initialize MLflow: file://C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-16 00:48:53 | src.rag_pipeline | INFO | Initializing Senior Chatbot Pipeline...
2026-05-16 00:48:53 | src.rag_pipeline | INFO | Step 1/3: Loading embedding model...
2026-05-16 00:48:53 | src.embeddings | INFO | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-05-16 00:49:00 | src.embeddings | INFO | Embedding model loaded successfully
2026-05-16 00:49:00 | src.rag_pipeline | INFO | Step 2/3: Setting up vector store...
2026-05-16 00:49:00 | src.embeddings | INFO | Loading FAISS index from C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\vectorstore
2026-05-16 00:49:00 | src.embeddings | INFO | FAISS index loaded successfully
2026-05-16 00:49:00 | src.rag_pipeline | INFO | Step 3/3: Loading LLM...
2026-05-16 00:49:00 | src.llm_engine | INFO | Loading LLM via Groq: llama-3.1-8b-instant
2026-05-16 00:49:01 | src.llm_engine | INFO | LLM loaded successfully
2026-05-16 00:49:01 | src.rag_pipeline | INFO | Pipeline initialized successfully!
2026-05-16 00:52:40 | streamlit_app | WARNING | Failed to initialize MLflow: file://C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-16 00:52:40 | src.rag_pipeline | INFO | Initializing Senior Chatbot Pipeline...
2026-05-16 00:52:40 | src.rag_pipeline | INFO | Step 1/3: Loading embedding model...
2026-05-16 00:52:40 | src.embeddings | INFO | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-05-16 00:52:49 | src.embeddings | INFO | Embedding model loaded successfully
2026-05-16 00:52:49 | src.rag_pipeline | INFO | Step 2/3: Setting up vector store...
2026-05-16 00:52:49 | src.embeddings | INFO | Loading FAISS index from C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\vectorstore
2026-05-16 00:52:49 | src.embeddings | INFO | FAISS index loaded successfully
2026-05-16 00:52:49 | src.rag_pipeline | INFO | Step 3/3: Loading LLM...
